seed,transition,pre_observation_noise_std,post_observation_noise_std,fixed_ar1_phi,slope_noise_std,horizon,regime_point,outer_origin,relative_origin,period,adaptive_order,adaptive_window,adaptive_lambda,adaptive_smoothness,adaptive_window_post_fraction,frozen_order,frozen_window,frozen_lambda,frozen_smoothness,frozen_window_post_fraction,adaptive_order_differs,adaptive_window_differs,adaptive_smoothness_minus_frozen,adaptive_mse,frozen_mse,benchmark_mse,adaptive_rmse,frozen_rmse,benchmark_rmse,adaptive_mse_advantage_vs_frozen,adaptive_relative_rmsfe_vs_no_change,frozen_relative_rmsfe_vs_no_change
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,210,30,early,2,48,1763.1488410556278,0.9646914244484196,0.625,2,48,3101.932632423876,0.972214039136268,0.625,0.0,0.0,-0.007522614687848428,0.13266644987225304,0.14740709445839914,0.10713435994346589,0.36423405918756835,0.3839363156285156,0.3273138554101642,0.014740644586146101,1.1127975585730663,1.1729913331881308
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,213,33,early,2,48,1248.8565807276411,0.95953501961073,0.6875,2,48,3101.932632423876,0.972214039136268,0.6875,0.0,0.0,-0.012679019525538071,0.03210781973255698,0.05133652909245224,0.01564103832245207,0.1791865500883283,0.22657565864949447,0.12506413683567352,0.019228709359895256,1.4327572605707761,1.8116757080185246
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,216,36,mid,2,48,1044.8518520598798,0.9566833198342694,0.75,2,48,3101.932632423876,0.972214039136268,0.75,0.0,0.0,-0.015530719301998674,0.0689850597183183,0.08623140675150472,0.2603685700983635,0.2626500708515387,0.2936518461571538,0.5102632360834587,0.01724634703318642,0.5147344591539016,0.5754908944863197
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,219,39,mid,3,48,248377.35124684678,0.9882886727063462,0.8125,2,48,3101.932632423876,0.972214039136268,0.8125,1.0,0.0,0.01607463357007821,0.2889864070280871,0.3293118317368519,0.7334150436503203,0.537574559506016,0.573856978468374,0.8563965457954161,0.04032542470876482,0.6277168703508955,0.6700832473995781
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,222,42,mid,3,48,669012.1931200714,0.9942108282732846,0.875,2,48,3101.932632423876,0.972214039136268,0.875,1.0,0.0,0.021996789137016526,0.017220659315063606,0.034115930367473374,0.050342321568667185,0.13122750974953235,0.18470498197794605,0.22437094635595578,0.016895271052409767,0.58486854862815,0.8232125637377256
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,225,45,mid,2,24,86702214.44072537,0.9999995986769766,1.0,2,48,3101.932632423876,0.972214039136268,0.9375,0.0,1.0,0.027785559540708604,0.08485561857636503,0.07205376910610017,0.08465915938724528,0.29129987740533814,0.26842833141473754,0.29096247075395354,-0.012801849470264859,1.001159622581257,0.922553107000966
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,228,48,mid,2,24,82382109.30126135,0.9999995762507841,1.0,2,48,3101.932632423876,0.972214039136268,1.0,0.0,1.0,0.027785537114516035,0.011335648691575554,0.007197196996124449,0.09938941560644114,0.1064690034309308,0.08483629527581016,0.3152608691329153,-0.004138451695451105,0.33771715380903494,0.2690987165934724
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,231,51,mid,2,24,88974003.19432211,0.9999996096226015,1.0,2,48,3101.932632423876,0.972214039136268,1.0,0.0,1.0,0.027785570486333455,0.008361172927894494,0.008614447681428631,0.02515249273396294,0.09143944951657623,0.09281404894426615,0.1585953742514672,0.0002532747535341374,0.5765581117869856,0.5852254479824938
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,234,54,mid,2,24,386937019.21283823,0.9999999673144423,1.0,2,48,3101.932632423876,0.972214039136268,1.0,0.0,1.0,0.02778592817817427,0.10436870915069325,0.13640011416758044,0.35599156554019806,0.3230614634256046,0.36932386081538304,0.5966502874718138,0.032031405016887185,0.5414586571214319,0.6189955298275628
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,237,57,mid,2,24,175566518.62137344,0.9999998224850394,1.0,2,48,3101.932632423876,0.972214039136268,1.0,0.0,1.0,0.027785783348771353,0.37950700612991906,0.35329840424501524,0.10571699138278631,0.6160413996882994,0.5943891017212675,0.3251414944032618,-0.026208601884903815,1.8946871140483978,1.8280936513875623
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,240,60,mid,2,24,86127524.1140426,0.9999995958195295,1.0,2,48,3101.932632423876,0.972214039136268,1.0,0.0,1.0,0.027785556683261436,0.4449144262281813,0.3890430622505009,0.031283246470938594,0.6670190598687427,0.6237331659055023,0.1768707055194234,-0.05587136397768039,3.7712240583305223,3.5264922140371393
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,243,63,mid,3,48,408990.4382122785,0.9915993665960927,1.0,2,48,3101.932632423876,0.972214039136268,1.0,1.0,0.0,0.019385327459824686,0.03395731551497613,0.01859943680405509,0.05498629322126126,0.18427510823487836,0.13637975217771547,0.23449156321979103,-0.015357878710921043,0.7858496301726458,0.5815976929194911
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,246,66,mid,3,48,552873.4212629461,0.993279995319331,1.0,2,48,3101.932632423876,0.972214039136268,1.0,1.0,0.0,0.02106595618306295,0.2898029469893478,0.3350352992298631,0.25910885881786605,0.5383334904957593,0.578822338226388,0.5090273654901729,0.045232352240515306,1.0575727887976432,1.1371143821884808
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,249,69,mid,3,72,92011.32374564609,0.9699481178855965,0.9583333333333334,2,48,3101.932632423876,0.972214039136268,1.0,1.0,1.0,-0.0022659212506714876,0.08783812271915295,0.008482290764810252,0.040770235701129226,0.2963749697919056,0.0920993526839915,0.20191640770657848,-0.0793558319543427,1.4678102347313582,0.4561261451215432
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,252,72,late,3,72,135968.85315614243,0.973216508078016,1.0,2,48,3101.932632423876,0.972214039136268,1.0,1.0,1.0,0.001002468941747936,0.016022858956991647,0.07362184780434138,0.1025557993505336,0.12658143211779382,0.27133346237488176,0.32024334395976695,0.05759898884734973,0.3952663950876575,0.847272761456582
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,255,75,late,3,72,129495.16361546637,0.9728198287708284,1.0,2,48,3101.932632423876,0.972214039136268,1.0,1.0,1.0,0.0006057896345603719,0.06703340496013627,0.15367426617730803,0.1598722241960336,0.25890810137988396,0.39201309439521026,0.39984024834430265,0.08664086121717177,0.647528862969638,0.9804242969998548
