transition,horizon,period,n_blocks,adaptive_mse,frozen_local_mse,frozen_all_pre_mse,benchmark_mse,adaptive_rmse_vs_frozen_local,adaptive_rmse_vs_frozen_all_pre,adaptive_relative_rmsfe_vs_no_change,frozen_local_relative_rmsfe_vs_no_change,frozen_all_pre_relative_rmsfe_vs_no_change,mean_adaptive_advantage_vs_frozen_local,mean_adaptive_advantage_vs_frozen_all_pre
low_to_high_roughness,1,all_post,1200,0.36741776595024817,1.0111209368377596,0.562153338483135,0.5151847615384947,0.6028073298147335,0.8084490945890033,0.8444978956634727,1.400941650664766,1.0445900692025585,0.6437031708875115,0.19473557253288684
low_to_high_roughness,1,early,360,0.3559840504570473,0.4822497449961558,0.4144264244293969,0.4871496120207198,0.8591703216868727,0.9268117918357436,0.854838531573107,0.9949581706858067,0.9223431759321075,0.12626569453910852,0.0584423739723497
low_to_high_roughness,1,late,480,0.3408693865931756,1.3140775412699617,0.674440469653621,0.5429364668665992,0.5093115242266941,0.7109223838255136,0.7923544353568059,1.5557363178849448,1.1145442222442086,0.9732081546767859,0.3335710830604453
low_to_high_roughness,1,mid,360,0.4142493205862126,1.1360499894364275,0.560164077642892,0.506217637285464,0.6038543252791025,0.8599501468423685,0.9046118367904878,1.4980630243434534,1.0519352082351652,0.7218006688502151,0.14591475705667942
low_to_high_roughness,3,all_post,1200,0.37537686325964853,1.0162321602742597,0.6502724199921711,0.6399654616407066,0.6077672346211602,0.759776896242023,0.765870748326198,1.2601382646163684,1.0080205809288438,0.6408552970146111,0.27489555673252253
low_to_high_roughness,3,early,360,0.366056947168474,0.5073588776864871,0.4423077429829067,0.5312055978914874,0.849408680121656,0.9097290344770951,0.8301240671853038,0.9772964258693587,0.9124959583844133,0.14130193051801318,0.07625079581443275
low_to_high_roughness,3,late,480,0.37875023523929613,1.335524922828604,0.8488672534705767,0.760503318362345,0.532537821235,0.6679693966344113,0.7057093946170465,1.3251817363515084,1.0564995914076147,0.9567746875893076,0.47011701823128066
low_to_high_roughness,3,mid,360,0.3801989500446263,1.0993817594562396,0.5934439856968944,0.588008183094408,0.5880729361341295,0.8004156844041406,0.8041068681250789,1.367359078639313,1.0046115834470262,0.7191828094116133,0.21324503565226807
low_to_high_roughness,6,all_post,1170,0.4735729230646387,1.136622846469682,0.7834397567918883,0.9839993206839154,0.6454836423883571,0.7774825104249651,0.6937388759831477,1.0747582594289162,0.89228872248709,0.6630499234050432,0.3098668337272495
low_to_high_roughness,6,early,360,0.469552521569631,0.6056248629003897,0.5140968635337445,0.6419683069518217,0.8805220591097466,0.9556956547689603,0.8552346626466627,0.9712813595054611,0.8948818155434806,0.13607234133075863,0.0445443419641135
low_to_high_roughness,6,late,450,0.4602176496929338,1.465564520679009,1.03679292592031,1.3415464805367256,0.5603755313833679,0.6662475460430712,0.5857047861882196,1.045200501068137,0.8791098588907302,1.0053468709860751,0.576575276227376
low_to_high_roughness,6,mid,360,0.4942874162742778,1.2564437372773154,0.7360911886395048,0.8790963845999961,0.6272176256861909,0.8194528453821457,0.7498450521293714,1.1955101728989568,0.9150557672170712,0.7621563210030375,0.24180377236522713
low_to_high_roughness,12,all_post,1110,0.8505278383294884,1.7057397917145494,1.3906014483448097,2.2251197602686656,0.7061352242872498,0.7820651396790548,0.6182549058924728,0.8755474654539708,0.7905414453662943,0.8552119533850611,0.5400736100153213
low_to_high_roughness,12,early,360,0.8226937775682646,1.0619822008359667,0.8237707107582788,1.1106040274227906,0.8801576890588426,0.9993461254565786,0.860675586686589,0.977865213683373,0.8612387287671384,0.2392884232677021,0.0010769331900141398
low_to_high_roughness,12,late,390,0.7424960133604014,2.110725270153819,2.049518846610087,3.4511389127441476,0.5931044851537869,0.601895511857407,0.4638374845757257,0.7820502056319075,0.7706279170355599,1.3682292567934173,1.3070228332496856
low_to_high_roughness,12,mid,360,0.9953963761405564,1.9107631142839239,1.2436050044772904,2.0114480779327684,0.7217629804902848,0.8946574796353752,0.703466813951638,0.9746507274088533,0.7862973595641782,0.9153667381433677,0.248208628336734
