seed,transition,pre_slope_noise_std,post_slope_noise_std,horizon,outer_origin,relative_origin,period,adaptive_order,adaptive_window,adaptive_lambda,adaptive_smoothness,frozen_local_order,frozen_local_window,frozen_local_lambda,frozen_local_smoothness,frozen_local_n_origins,frozen_all_pre_order,frozen_all_pre_window,frozen_all_pre_lambda,frozen_all_pre_smoothness,frozen_all_pre_n_origins,adaptive_mse,frozen_local_mse,frozen_all_pre_mse,benchmark_mse,adaptive_rmse,frozen_local_rmse,frozen_all_pre_rmse,benchmark_rmse,adaptive_advantage_vs_frozen_local,adaptive_advantage_vs_frozen_all_pre
0,stable_low_roughness,0.005,0.005,1,252,72,late,2,72,26489122129.84347,1.00000035924574,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.35134300863645174,0.24898429551382412,0.257608559136714,0.41052980603963984,0.5927419410135002,0.49898326175716967,0.5075515334788321,0.640725999191261,-0.10235871312262762,-0.09373444949973775
0,stable_low_roughness,0.005,0.005,1,255,75,late,2,24,122744026.23024254,0.9999997260973664,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.4570549153665734,0.7102217048123355,0.7308405210080949,0.6628580058739222,0.6760583668342353,0.8427465246515915,0.8548921107415222,0.8141609213625536,0.2531667894457621,0.27378560564152155
0,stable_low_roughness,0.005,0.005,1,258,78,late,1,24,45.40460848493486,0.9445161117677199,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.6761182304699771,1.102052248342604,1.1350676731204135,0.5959238524539152,0.8222640880337515,1.0497867632727154,1.06539554772883,0.7719610433525226,0.42593401787262697,0.45894944265043636
0,stable_low_roughness,0.005,0.005,1,261,81,late,1,72,51.81381779764294,0.9368050666956677,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.04441178358216961,0.17808247236733007,0.19175227120588378,0.048977867638878625,0.21074103440519032,0.4219981900048033,0.43789527424474883,0.22130943865745678,0.13367068878516047,0.14734048762371418
0,stable_low_roughness,0.005,0.005,1,264,84,late,1,72,77.49712676917399,0.9495603697516283,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,1.0196913228399755,0.6647614040445557,0.6378809928390673,0.4892802055413266,1.009797664307051,0.8153290158240143,0.7986745224677367,0.6994856721487057,-0.3549299187954198,-0.38181033000090825
0,stable_low_roughness,0.005,0.005,1,267,87,late,1,24,113.10080360997563,0.9716940146292377,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.6787070152835132,0.432123295437972,0.4186970416405021,0.21713191203929166,0.8238367649501406,0.6573608563323283,0.6470680347849846,0.4659741538318318,-0.24658371984554117,-0.2600099736430111
0,stable_low_roughness,0.005,0.005,1,270,90,late,1,24,109.67101597367,0.9709954217504019,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.051908384404924096,0.1801511627534039,0.18202418415500732,0.591818062043532,0.2278341159811763,0.42444217833929265,0.42664292347935096,0.7692971220819249,0.1282427783484798,0.13011579975008322
0,stable_low_roughness,0.005,0.005,1,273,93,late,1,24,118.56843203209924,0.9727386240865364,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.3284562938378429,0.14654105471224954,0.1448161950011656,0.34165385545293536,0.573111065883257,0.3828068112145466,0.3805472309729314,0.5845116384238516,-0.18191523912559338,-0.1836400988366773
0,stable_low_roughness,0.005,0.005,1,276,96,late,1,24,83.04042728212866,0.9640417393505102,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.5079681672482964,0.2803408096879473,0.275044305844913,1.0625266386367833,0.7127188556845514,0.5294721991643634,0.5244466663493181,1.0307893279602691,-0.22762735756034913,-0.2329238614033834
0,stable_low_roughness,0.005,0.005,1,279,99,late,1,24,59.1252321386193,0.95385590503354,2,72,37411.48494267334,0.9881083068362535,20,2,72,45070.394614133744,0.9892938851778172,36,0.0037267924606821518,0.01139032082827154,0.012406003036274989,0.046194974372716455,0.061047460722639,0.10672544602048539,0.11138223842370465,0.2149301616170156,0.007663528367589389,0.008679210575592837
