direction,matched_control,horizon,seed,mean_excess_advantage_vs_frozen_local,mean_excess_advantage_vs_frozen_all_pre
high_to_low_roughness,stable_high_roughness,3,10,0.045796308992087774,0.0435866784449373
high_to_low_roughness,stable_high_roughness,3,11,-0.09244868680144945,0.05582582790170001
high_to_low_roughness,stable_high_roughness,3,12,-0.010835716842961307,0.004335086420848404
high_to_low_roughness,stable_high_roughness,3,13,-0.03763727243558023,0.03093183853006708
high_to_low_roughness,stable_high_roughness,3,14,-20.740805444378456,-0.846218821635979
high_to_low_roughness,stable_high_roughness,3,15,0.0028713417605591087,0.005957600037288478
high_to_low_roughness,stable_high_roughness,3,16,0.026397937243620478,0.02186175602664672
high_to_low_roughness,stable_high_roughness,3,17,0.03158860559647251,0.007204738837947783
high_to_low_roughness,stable_high_roughness,3,18,0.03200891065182225,0.008400059955781114
high_to_low_roughness,stable_high_roughness,3,19,0.01953656457395415,0.030815102906407932
high_to_low_roughness,stable_high_roughness,3,20,0.007003248700168373,0.030994436416189798
high_to_low_roughness,stable_high_roughness,3,21,0.06753306641578977,0.04593933174833657
high_to_low_roughness,stable_high_roughness,3,22,0.03472685271391846,0.03493720049954959
high_to_low_roughness,stable_high_roughness,3,23,0.05901909927079694,0.062362758325810085
high_to_low_roughness,stable_high_roughness,3,24,0.013624543791534233,0.03979392042544065
high_to_low_roughness,stable_high_roughness,3,25,0.056860445343874536,0.05026282204112322
high_to_low_roughness,stable_high_roughness,3,26,0.02054792527958904,0.0231626723355722
high_to_low_roughness,stable_high_roughness,3,27,0.015470621150332023,-0.013730453030942408
high_to_low_roughness,stable_high_roughness,3,28,0.05485602010484454,0.05614046540296998
high_to_low_roughness,stable_high_roughness,3,29,0.010165626044955616,0.029853470155702
high_to_low_roughness,stable_high_roughness,6,0,0.021873611839160572,0.05912389750316812
high_to_low_roughness,stable_high_roughness,6,1,0.05056854915991368,0.04414586948796276
high_to_low_roughness,stable_high_roughness,6,2,-1.3236939998317692,-0.10858515436433806
high_to_low_roughness,stable_high_roughness,6,3,0.009764647521338123,0.004004507391000701
high_to_low_roughness,stable_high_roughness,6,4,0.0802439284762856,0.07363659204035877
high_to_low_roughness,stable_high_roughness,6,5,0.029012213889292156,0.04502250515848232
high_to_low_roughness,stable_high_roughness,6,6,-1.6229787965489335,-0.050079012619126693
high_to_low_roughness,stable_high_roughness,6,7,0.13976506351329368,-0.09214080692455531
high_to_low_roughness,stable_high_roughness,6,8,0.04456533044966225,0.0550004670092237
