direction,matched_control,seed,horizon,relative_origin,period,transition_advantage_vs_frozen_local,transition_advantage_vs_frozen_all_pre,control_advantage_vs_frozen_local,control_advantage_vs_frozen_all_pre,excess_advantage_vs_frozen_local,excess_advantage_vs_frozen_all_pre
high_to_low_roughness,stable_high_roughness,16,1,114,late,-0.16059121856975783,0.259334775917027,-0.3956337697243863,-0.05174355059607744,0.23504255115462847,0.31107832651310446
high_to_low_roughness,stable_high_roughness,16,1,117,late,-0.0457528508246691,-0.06169909939517644,0.014041649423776005,0.0027372715929089176,-0.059794500248445105,-0.06443637098808536
high_to_low_roughness,stable_high_roughness,16,3,0,early,0.0,-0.06029504672242436,0.0,-0.060216947303784824,0.0,-7.809941863953784e-05
high_to_low_roughness,stable_high_roughness,16,3,3,early,-0.00048082356675008264,0.004322905430270141,-0.0009360601657933398,0.004864892546067534,0.0004552365990432572,-0.0005419871157973932
high_to_low_roughness,stable_high_roughness,16,3,6,early,-0.010773660898588028,-0.01694202368752304,-0.0010515929631290388,0.003501629299673542,-0.009722067935458989,-0.02044365298719658
high_to_low_roughness,stable_high_roughness,16,3,9,early,0.0006278091719660872,0.014978364039564707,0.02141718514714,0.05491249495419498,-0.020789375975173913,-0.03993413091463027
high_to_low_roughness,stable_high_roughness,16,3,12,early,-0.0013072243186533841,-0.004121071742869201,5.237576653485676e-05,0.003767832729848302,-0.0013596000851882409,-0.007888904472717503
high_to_low_roughness,stable_high_roughness,16,3,15,early,-0.3420578227746375,-0.34410565822213623,-0.21275597886639788,-0.23024515810753768,-0.1293018439082396,-0.11386050011459856
high_to_low_roughness,stable_high_roughness,16,3,18,early,-0.07876656132799273,-0.07714970213085931,-0.1030300880262012,-0.10322338372168574,0.02426352669820847,0.02607368159082643
high_to_low_roughness,stable_high_roughness,16,3,21,early,-0.005997967051208031,0.0005747553129785421,-0.007646934653536941,0.0012580874310071377,0.0016489676023289102,-0.0006833321180285956
high_to_low_roughness,stable_high_roughness,16,3,24,early,-0.1390747603108904,-0.1952634475226584,-0.15792509070863978,-0.19946256703406634,0.018850330397749387,0.004199119511407945
high_to_low_roughness,stable_high_roughness,16,3,27,early,-0.03597861246748474,-0.02848243781883525,-0.007239293065975483,-0.009084432536158482,-0.028739319401509256,-0.019398005282676767
high_to_low_roughness,stable_high_roughness,16,3,30,early,0.1519701491138387,0.12654813584499922,-0.278255248574925,-0.23908493737673608,0.43022539768876367,0.3656330732217353
high_to_low_roughness,stable_high_roughness,16,3,33,early,-0.014432182033884612,-0.014765763368789452,-0.3478921849998011,-0.3340887135250973,0.3334600029659165,0.31932295015630785
high_to_low_roughness,stable_high_roughness,16,3,36,mid,0.0925701348231919,0.07205463452531274,0.015701204323054274,-0.017407594914594343,0.07686893050013763,0.08946222943990709
high_to_low_roughness,stable_high_roughness,16,3,39,mid,0.0166871510155594,0.008706625641130006,0.0005775029126154352,0.0006351864735698598,0.016109648102943963,0.008071439167560146
high_to_low_roughness,stable_high_roughness,16,3,42,mid,0.022098846481312523,0.017801148103617492,-0.008261226702884095,-0.014916800134361335,0.030360073184196618,0.03271794823797883
high_to_low_roughness,stable_high_roughness,16,3,45,mid,0.01812958420594163,0.008791698752025068,-0.004792135170341105,-0.008924965914892558,0.022921719376282734,0.017716664666917625
high_to_low_roughness,stable_high_roughness,16,3,48,mid,0.036416467315738825,0.02822708715101794,0.005013329099999089,-0.0026141477926594076,0.031403138215739736,0.030841234943677347
high_to_low_roughness,stable_high_roughness,16,3,51,mid,0.03822303942981661,0.034906165184867444,0.00037702493407790194,-0.002394457662683133,0.03784601449573871,0.03730062284755058
high_to_low_roughness,stable_high_roughness,16,3,54,mid,0.006024486989971788,0.008009278729584339,-2.6009237319983558e-05,-0.0003152144675534832,0.006050496227291771,0.008324493197137822
high_to_low_roughness,stable_high_roughness,16,3,57,mid,0.051797153377361294,0.028179619269882605,0.012678586531258862,-0.0008707881450844557,0.03911856684610243,0.02905040741496706
high_to_low_roughness,stable_high_roughness,16,3,60,mid,-0.040155000622088204,-0.04340814624428779,0.0011326332940539419,-0.0021753820375295246,-0.041287633916142145,-0.04123276420675827
high_to_low_roughness,stable_high_roughness,16,3,63,mid,-0.03962989314380655,-0.04227415110256899,0.001312385824344231,-5.488475416259853e-06,-0.04094227896815078,-0.04226866262715273
high_to_low_roughness,stable_high_roughness,16,3,66,mid,0.050637850707304616,0.03744496656265234,0.011402313154547927,-1.4775019498508568e-05,0.03923553755275669,0.037459741582150846
high_to_low_roughness,stable_high_roughness,16,3,69,mid,-0.012967658634666868,-0.011785388305033062,-0.0034662713741167583,-0.000990326216758236,-0.00950138726055011,-0.010795062088274826
high_to_low_roughness,stable_high_roughness,16,3,72,late,0.013037044118343388,0.01283587907399042,0.003933981090069816,0.002930759196744237,0.009103063028273572,0.009905119877246182
high_to_low_roughness,stable_high_roughness,16,3,75,late,-0.029074546931998957,-0.0422234419665084,0.026563385319726684,0.00783520333151455,-0.05563793225172564,-0.05005864529802295
high_to_low_roughness,stable_high_roughness,16,3,78,late,0.21501341290530934,0.17152128531091898,0.07027319216523908,0.031512652773594496,0.14474022074007026,0.14000863253732448
high_to_low_roughness,stable_high_roughness,16,3,81,late,0.06993966666892926,0.04138665622717602,0.034038999751263566,0.014695218810491628,0.03590066691766569,0.026691437416684394
high_to_low_roughness,stable_high_roughness,16,3,84,late,-0.07760640965393134,-0.07723657268196427,-0.0859698705162586,-0.061451424236454055,0.008363460862327254,-0.01578514844551021
high_to_low_roughness,stable_high_roughness,16,3,87,late,0.1425753622193899,0.1050187607775678,-0.15965162393194937,-0.19095284965643575,0.30222698615133925,0.29597161043400355
high_to_low_roughness,stable_high_roughness,16,3,90,late,-0.011631422031783356,0.0037061538169972374,0.029890078651054752,0.01810743971985629,-0.04152150068283811,-0.014401285902859051
high_to_low_roughness,stable_high_roughness,16,3,93,late,0.1026500212211031,0.07199706254546785,0.04276863590502464,0.02355445172493051,0.059881385316078464,0.04844261082053734
high_to_low_roughness,stable_high_roughness,16,3,96,late,0.007613684684765948,0.009602190792063897,-0.02827836461603156,-0.021380575984511263,0.03589204930079751,0.03098276677657516
high_to_low_roughness,stable_high_roughness,16,3,99,late,0.015611973742318097,0.008539467948962348,0.0018795098403072419,-0.0009142120267092366,0.013732463902010855,0.009453679975671585
high_to_low_roughness,stable_high_roughness,16,3,102,late,0.00873138419738656,0.0076422927331126905,-0.02274588958657575,-0.017065658380622073,0.03147727378396231,0.024707951113734763
high_to_low_roughness,stable_high_roughness,16,3,105,late,-0.044323123440401624,-0.03867543250780939,-0.0607857078743263,-0.04226361676171225,0.016462584433924676,0.0035881842539028652
