direction,horizon,relative_origin,transition_smoothness,start_reference_smoothness,target_reference_smoothness,mean_abs_smoothness_gap_to_target,mean_transition_order,mean_start_order,mean_target_order,mean_transition_window,mean_start_window,mean_target_window,order_match_target_share,window_match_target_share,discrete_config_match_target_share,mean_transition_window_post_fraction,reference_smoothness_shift,smoothness_progress
high_to_low_roughness,3,111,0.9924663676407818,0.9504375367661273,0.9833369337164892,0.01109254016280636,2.1333333333333333,2.066666666666667,2.066666666666667,55.2,44.8,56.0,0.8,0.8333333333333334,0.7666666666666667,1.0,0.032899396950361925,1.2774954792656805
high_to_low_roughness,3,114,0.9942680870989207,0.9693925478604832,0.9804336334380451,0.014399186498280007,2.2,2.1666666666666665,2.1666666666666665,53.6,42.4,53.6,0.9,0.9,0.9,1.0,0.011041085577561893,2.252997593732127
high_to_low_roughness,3,117,0.9944945284784222,0.9598608773073447,0.9755701255320645,0.019925772515317366,2.2333333333333334,2.1666666666666665,2.066666666666667,54.4,45.6,53.6,0.8,0.8333333333333334,0.7666666666666667,1.0,0.015709248224719752,2.2046663644017492
high_to_low_roughness,6,0,0.9557428038146323,0.9557428038146323,0.9807141413487769,0.03521949039412379,2.1,2.1,2.1,50.4,50.4,53.6,0.5333333333333333,0.36666666666666664,0.2,0.0,0.0249713375341446,0.0
high_to_low_roughness,6,3,0.9503145400533343,0.9489239955557311,0.977783712443831,0.03490439222532308,2.033333333333333,2.0,2.033333333333333,51.2,51.2,52.8,0.6,0.4,0.2,0.07361111111111111,0.02885971688809985,0.04818288769064476
high_to_low_roughness,6,6,0.9422209191484342,0.9394906385057195,0.9782050217497631,0.04430460186412991,2.0,2.0,2.0,49.6,49.6,56.8,0.5666666666666667,0.26666666666666666,0.13333333333333333,0.15555555555555556,0.03871438324404364,0.07052367657528959
high_to_low_roughness,6,9,0.9488819020981462,0.9430869137949981,0.9822971265573356,0.03542169322333964,2.0,2.033333333333333,1.9666666666666666,49.6,49.6,54.4,0.6,0.26666666666666666,0.1,0.23333333333333334,0.03921021276233749,0.14779282984953124
high_to_low_roughness,6,12,0.943018034658987,0.9429432057244695,0.9813415086976659,0.04403897818546653,2.1,2.1333333333333333,1.9666666666666666,53.6,52.8,57.6,0.5666666666666667,0.26666666666666666,0.1,0.2861111111111111,0.03839830297319635,0.0019487562919049822
high_to_low_roughness,6,15,0.9582828172945647,0.9536592668417886,0.9847105170361289,0.031533197221053785,2.1333333333333333,2.2,1.9666666666666666,49.6,50.4,57.6,0.6666666666666666,0.3,0.16666666666666666,0.3888888888888889,0.031051250194340296,0.14890062151567746
high_to_low_roughness,6,18,0.9536664457268851,0.9356613469481092,0.9865114053406442,0.03545343784503578,2.1333333333333333,2.2,2.033333333333333,49.6,48.8,55.2,0.6666666666666666,0.3333333333333333,0.2,0.4583333333333333,0.05085005839253498,0.3540821652511436
high_to_low_roughness,6,21,0.9521066392941087,0.9548320704071727,0.9823128434885021,0.04177039652896093,2.1,2.1666666666666665,2.0,52.8,49.6,55.2,0.6666666666666666,0.36666666666666664,0.26666666666666666,0.49583333333333335,0.027480773081329457,-0.09917592583724187
high_to_low_roughness,6,24,0.9536469292779058,0.9529626302252666,0.9839144723385517,0.04182248254228319,2.2,2.1666666666666665,2.0,54.4,52.0,54.4,0.6333333333333333,0.3,0.23333333333333334,0.5444444444444444,0.030951842113285055,0.022108508118342748
high_to_low_roughness,6,27,0.9699671925457447,0.9510387135256801,0.9818735237984622,0.026821845185151752,2.2333333333333334,2.066666666666667,1.9666666666666666,50.4,46.4,56.8,0.7,0.3,0.2,0.6270833333333333,0.03083481027278201,0.6138672121739238
high_to_low_roughness,6,30,0.9638156474008183,0.9551140188677198,0.9610142332382219,0.05308170694997062,2.1,2.066666666666667,2.033333333333333,46.4,44.8,58.4,0.7333333333333333,0.3,0.23333333333333334,0.7,0.005900214370502033,1.4747987084337104
high_to_low_roughness,6,33,0.9542443115208269,0.9513856952862271,0.9640097878595137,0.05784865034210458,2.033333333333333,1.9666666666666666,2.0,47.2,42.4,59.2,0.7,0.36666666666666664,0.2,0.7256944444444444,0.012624092573286672,0.22644132384206542
high_to_low_roughness,6,36,0.9582525283683889,0.9545568315241671,0.9815687254565357,0.0367790881181536,2.033333333333333,2.0,2.0,42.4,39.2,60.8,0.7,0.26666666666666666,0.16666666666666666,0.8083333333333333,0.02701189393236858,0.1368173906455774
high_to_low_roughness,6,39,0.9643406531881072,0.9509681266139,0.9848882222593373,0.030344545922377,2.033333333333333,2.0,2.066666666666667,40.8,36.0,60.8,0.7,0.2,0.16666666666666666,0.8520833333333333,0.0339200956454373,0.3942361104752979
high_to_low_roughness,6,42,0.9651461157411575,0.9547475528361891,0.9645951290397378,0.04930423077899244,2.066666666666667,1.9666666666666666,2.033333333333333,44.0,37.6,56.0,0.6333333333333333,0.26666666666666666,0.2,0.8569444444444444,0.009847576203548702,1.0559515042108714
high_to_low_roughness,6,45,0.9670699306391582,0.9505362275147101,0.9598982089791136,0.05158798046246687,2.0,1.9333333333333333,2.0,44.8,38.4,60.0,0.6333333333333333,0.3333333333333333,0.2,0.8708333333333333,0.00936198146440348,1.7660474107231756
high_to_low_roughness,6,48,0.9653387702208733,0.9503904456361353,0.9588780452309735,0.053023732855702894,1.9666666666666666,1.9333333333333333,1.9333333333333333,45.6,38.4,58.4,0.7,0.3333333333333333,0.23333333333333334,0.9,0.008487599594838247,1.7611957795262758
high_to_low_roughness,6,51,0.9715059578189376,0.9521777432226455,0.9828754105185707,0.028112773820454885,2.0,2.0,1.9333333333333333,48.8,43.2,57.6,0.6666666666666666,0.43333333333333335,0.36666666666666664,0.8833333333333333,0.03069766729592527,0.6296313791523065
high_to_low_roughness,6,54,0.9722876969338656,0.9562021773820764,0.9848983223253412,0.025575379304461535,1.9666666666666666,2.033333333333333,2.0,46.4,40.0,55.2,0.7,0.36666666666666664,0.3333333333333333,0.925,0.02869614494326489,0.5605463585297584
high_to_low_roughness,6,57,0.974217875142083,0.9549694221076506,0.9844891104366904,0.02458652277954729,1.9666666666666666,2.1,2.066666666666667,44.8,39.2,58.4,0.6666666666666666,0.36666666666666664,0.3333333333333333,0.9444444444444444,0.02951968832903984,0.652054751387632
high_to_low_roughness,6,60,0.9795975981874946,0.9545834564467586,0.9852314879264699,0.016737255861347715,2.0,2.1,2.1,48.0,37.6,58.4,0.7,0.43333333333333335,0.3333333333333333,0.9444444444444445,0.03064803147971129,0.8161744990798233
high_to_low_roughness,6,63,0.9819157579517975,0.9462157678092847,0.9843006863135927,0.015380099192571132,2.033333333333333,2.1333333333333333,2.066666666666667,48.8,47.2,58.4,0.7,0.4666666666666667,0.3333333333333333,0.9625,0.03808491850430795,0.9373786670562158
high_to_low_roughness,6,66,0.9842469902288762,0.9336448990578708,0.9847626287655077,0.014629626674070051,2.033333333333333,2.1333333333333333,2.066666666666667,48.8,47.2,56.8,0.7,0.43333333333333335,0.3333333333333333,0.9694444444444444,0.05111772970763684,0.9899127261797296
high_to_low_roughness,6,69,0.9719639447592868,0.9545294594369056,0.9854288907794941,0.028565007743581405,2.033333333333333,2.2333333333333334,2.1,48.8,46.4,56.8,0.6666666666666666,0.5666666666666667,0.43333333333333335,0.9847222222222223,0.030899431342588546,0.5642332096368181
high_to_low_roughness,6,72,0.9864018917870875,0.9517343369645811,0.9841832879832284,0.013365796545204523,2.1,2.2,2.1333333333333333,51.2,46.4,55.2,0.7333333333333333,0.5666666666666667,0.4666666666666667,1.0,0.03244895101864731,1.0683721271169635
high_to_low_roughness,6,75,0.986796528721855,0.9366391421431318,0.9881182359700211,0.007740149831585471,2.033333333333333,2.066666666666667,2.1,51.2,47.2,59.2,0.8666666666666667,0.5666666666666667,0.5,1.0,0.05147909382688931,0.9743253590941069
