seed,transition,pre_phi,post_phi,horizon,regime_point,outer_origin,relative_origin,post_observations_seen,selected_window_pre_count,selected_window_post_count,selected_window_post_fraction,forecast_block_relation,selected_order,selected_window,selected_lambda,selected_smoothness,inner_objective,search_source,n_stationary_points,outer_block_mse,benchmark_block_mse,relative_rmsfe_block
0,stable_low,0.0,0.0,3,180,204,24,24,48,24,0.3333333333333333,post,2,72,34917.168556181714,0.9876533168690138,0.35751175447017997,stationary_minimum,2,0.15246450462850555,1.2621594364395707,0.347557979813194
0,stable_low,0.0,0.0,3,180,207,27,27,45,27,0.375,post,2,72,20332.762515772236,0.9837956865902903,0.32820302011726626,stationary_minimum,2,0.017834328737719306,0.0367523965437395,0.6966033392429314
0,stable_low,0.0,0.0,3,180,210,30,30,42,30,0.4166666666666667,post,2,72,20285.598432061448,0.9837779821572936,0.3241232146864577,stationary_minimum,2,0.2753921440555542,0.23203302565386977,1.089433867184803
0,stable_low,0.0,0.0,3,180,213,33,33,39,33,0.4583333333333333,post,2,72,18166.55717809184,0.9829251744776696,0.32092737780625974,stationary_minimum,2,0.16941686233520736,0.20608907631834206,0.9066733084208239
0,stable_low,0.0,0.0,3,180,216,36,36,36,36,0.5,post,2,72,17173.007685662913,0.9824814709754808,0.3090604639937965,stationary_minimum,2,0.5285140131607259,0.5156340697729378,1.0124123886892948
0,stable_low,0.0,0.0,3,180,219,39,39,33,39,0.5416666666666666,post,2,72,17528.688131124632,0.982643905525906,0.31965126174662206,stationary_minimum,2,0.519978858818682,1.4068142554320817,0.6079592394903655
0,stable_low,0.0,0.0,3,180,222,42,42,30,42,0.5833333333333334,post,2,72,15661.042659894872,0.9817409890862138,0.3221557827848309,stationary_minimum,2,0.18717072037120583,0.15621925304908615,1.0945905072949331
0,stable_low,0.0,0.0,3,180,225,45,45,27,45,0.625,post,2,72,12855.047133275693,0.9800965119453322,0.32270210480774125,stationary_minimum,2,0.3927042235309672,0.5835577980252925,0.8203342563333976
0,stable_low,0.0,0.0,3,180,228,48,48,24,48,0.6666666666666666,post,2,72,15859.010844044427,0.9818429097105768,0.32261249978910206,stationary_minimum,2,0.16187084310365932,0.39354755176713857,0.6413361300753587
0,stable_low,0.0,0.0,3,180,231,51,51,21,51,0.7083333333333334,post,2,72,16872.494399097057,0.982340928658692,0.3226840029530853,stationary_minimum,2,0.04801510162718639,0.3105826452869638,0.3931880716183819
