direction,seed,horizon,relative_origin,transition_order,transition_window,transition_smoothness,transition_window_post_fraction,start_order,start_window,start_smoothness,start_window_post_fraction,target_order,target_window,target_smoothness,target_window_post_fraction,abs_smoothness_gap_to_target,order_match_target,window_match_target,discrete_config_match_target
low_to_high,14,1,-51,2,24,1.0000041241331297,0.0,2,24,1.0000041241331297,0.0,1,48,0.46756114812536764,0.0,0.532442976007762,0.0,0.0,0.0
low_to_high,14,1,-48,2,24,1.0000041241331297,0.0,2,24,1.0000041241331297,0.0,1,48,0.30129835930367493,0.0,0.6987057648294548,0.0,0.0,0.0
low_to_high,14,1,-45,2,24,1.0000041241331297,0.0,2,24,1.0000041241331297,0.0,1,48,0.3423091036810787,0.0,0.657695020452051,0.0,0.0,0.0
low_to_high,14,1,-42,2,24,1.0000041241331297,0.0,2,24,1.0000041241331297,0.0,1,48,0.33906379641376844,0.0,0.6609403277193613,0.0,0.0,0.0
low_to_high,14,1,-39,2,24,1.0000041241331297,0.0,2,24,1.0000041241331297,0.0,1,48,0.20082661199699187,0.0,0.7991775121361377,0.0,0.0,0.0
low_to_high,14,1,-36,2,24,1.0000041241331297,0.0,2,24,1.0000041241331297,0.0,1,48,0.18504919640856657,0.0,0.8149549277245631,0.0,0.0,0.0
low_to_high,14,1,-33,2,24,1.0000041241331297,0.0,2,24,1.0000041241331297,0.0,1,48,0.1988911741530185,0.0,0.8011129499801112,0.0,0.0,0.0
low_to_high,14,1,-30,3,48,0.9999969204476874,0.0,3,48,0.9999969204476874,0.0,1,48,0.24290526309019844,0.0,0.757091657357489,0.0,1.0,0.0
low_to_high,14,1,-27,3,48,0.9999972065582831,0.0,3,48,0.9999972065582831,0.0,1,48,0.2885966436607067,0.0,0.7114005628975764,0.0,1.0,0.0
low_to_high,14,1,-24,3,48,0.9999971901269935,0.0,3,48,0.9999971901269935,0.0,1,48,0.23496942850561922,0.0,0.7650277616213743,0.0,1.0,0.0
low_to_high,14,1,-21,2,24,1.0000000568765819,0.0,2,24,1.0000000568765819,0.0,1,48,0.25299978239023196,0.0,0.74700027448635,0.0,0.0,0.0
