transition,pre_phi,post_phi,horizon,relative_origin,n_seeds,mean_order,modal_order,mean_window,modal_window,mean_smoothness,median_smoothness,mean_selected_window_post_fraction,frac_lower_boundary,frac_upper_boundary,mean_outer_block_mse,mean_benchmark_block_mse,pooled_relative_rmsfe
high_to_low,0.8,0.0,3,87,30,2.0,2,49.6,48,0.9626912294964632,0.980791915803539,1.0,0.0,0.03333333333333333,0.28026979822429127,0.5268577686034527,0.7293591847288917
high_to_low,0.8,0.0,3,90,30,2.0,2,50.4,48,0.9640092657547329,0.9816968719986847,1.0,0.0,0.06666666666666667,0.28972843760844336,0.556193539702652,0.7217430194233585
high_to_low,0.8,0.0,3,93,30,1.9666666666666666,2,48.0,24,0.9638594160692595,0.978486131155095,1.0,0.0,0.06666666666666667,0.3155991232565837,0.7229943878845705,0.6606941036001945
high_to_low,0.8,0.0,3,96,30,2.033333333333333,2,47.2,48,0.9637522655139942,0.9791873113698907,1.0,0.0,0.03333333333333333,0.3630026805951387,0.7108114647773028,0.7146241753386209
high_to_low,0.8,0.0,3,99,30,2.0,2,40.8,24,0.9691281456333025,0.9774386466578029,1.0,0.0,0.03333333333333333,0.3477204034384057,0.8888254393633647,0.6254705260516992
high_to_low,0.8,0.0,3,102,30,2.1,2,44.8,24,0.9723752183878454,0.9798403554794506,1.0,0.0,0.03333333333333333,0.27108397694400216,0.7620291946592576,0.5964391176465793
high_to_low,0.8,0.0,3,105,30,2.066666666666667,2,44.8,48,0.9723162047657408,0.9788974348459285,1.0,0.0,0.06666666666666667,0.2742331178760048,0.562636525776307,0.6981455744072836
high_to_low,0.8,0.0,3,108,30,2.1,2,48.8,48,0.971628967539928,0.9793176216753634,1.0,0.0,0.03333333333333333,0.3548308879282892,0.8247315234897428,0.6559253438120325
high_to_low,0.8,0.0,3,111,30,2.066666666666667,2,49.6,48,0.970468535139947,0.9789637089708194,1.0,0.0,0.03333333333333333,0.2965753603651344,0.7355120865549535,0.6349983933868718
high_to_low,0.8,0.0,3,114,30,2.033333333333333,2,46.4,24,0.9753589753182815,0.9791448045183724,1.0,0.0,0.1,0.346224319391315,0.8346628453966005,0.6440554273889715
high_to_low,0.8,0.0,3,117,30,2.066666666666667,2,43.2,24,0.9724582313644947,0.9791314683112435,1.0,0.0,0.1,0.34578921515866795,0.619886899157434,0.7468777005978049
high_to_low,0.8,0.0,6,-60,30,1.8,1,48.8,72,0.6608958105174811,0.9742507911981593,0.0,0.2,0.1,0.324095812186807,0.45043415273430915,0.848244502435241
