seed,transition,pre_phi,post_phi,horizon,regime_point,outer_origin,relative_origin,post_observations_seen,inner_origin_count,inner_origin_earliest,inner_origin_latest,inner_origin_post_fraction,selected_window_pre_count,selected_window_post_count,selected_window_post_fraction,forecast_block_relation,selected_order,selected_window,selected_lambda,selected_smoothness,inner_objective,search_source,n_stationary_points,outer_block_mse,benchmark_block_mse,relative_rmsfe_block,selector_max_inner_origins,selector_validation_span_observations,inner_step
0,stable_high,0.8,0.8,1,180,186,6,6,5,171,183,0.4,42,6,0.125,post,1,48,0.37268835744940193,0.3677995636478539,0.2051240037444261,stationary_minimum,2,0.07394492177332067,0.059493324363722185,1.114859293203481,5,12,3
0,stable_high,0.8,0.8,1,180,189,9,9,5,174,186,0.6,63,9,0.125,post,2,72,34913.879258840505,0.987652689889689,0.09987475624099257,stationary_minimum,4,0.12034325055887087,0.37051451942723557,0.5699125927812111,5,12,3
0,stable_high,0.8,0.8,1,180,192,12,12,5,177,189,0.8,12,12,0.5,post,1,24,0.4587279180660202,0.4096616253031201,0.1021606826386036,stationary_minimum,2,0.01376567705540948,0.020662805866036398,0.8162141898213222,5,12,3
0,stable_high,0.8,0.8,1,180,195,15,15,5,180,192,1.0,33,15,0.3125,post,3,48,227580.749215786,0.9876478095294615,0.08203743096433795,stationary_minimum,1,0.017392590252858373,0.2011645234211938,0.2940400151729271,5,12,3
0,stable_high,0.8,0.8,1,180,198,18,18,5,183,195,1.0,54,18,0.25,post,2,72,107012.77918517111,0.993913530207974,0.06597794034473302,stationary_minimum,4,0.0028059292432407253,0.1129368853065761,0.15762331412748862,5,12,3
0,stable_high,0.8,0.8,1,180,201,21,21,5,186,198,1.0,27,21,0.4375,post,3,48,920627.3774557387,0.9955442148725051,0.03270282545694434,stationary_minimum,4,0.033242801731142156,0.24345518924638593,0.3695211422330577,5,12,3
0,stable_high,0.8,0.8,1,180,204,24,24,5,189,201,1.0,48,24,0.3333333333333333,post,2,72,143244049.71122068,0.9999936216916763,0.029902011397129964,stationary_minimum,4,0.16904477450715616,0.016360244162840907,3.214444892858637,5,12,3
0,stable_high,0.8,0.8,1,180,207,27,27,5,192,204,1.0,45,27,0.375,post,2,72,26489122129.84347,1.00000035924574,0.06276451226177801,upper_boundary,4,0.00896017180753859,0.00017953399545579218,7.06455516182343,5,12,3
0,stable_high,0.8,0.8,1,180,210,30,30,5,195,207,1.0,42,30,0.4166666666666667,post,2,72,942760898.632427,0.9999990443027019,0.06136503782412398,stationary_minimum,6,4.7252787933258076e-05,0.0652977633767592,0.026900760980193505,5,12,3
0,stable_high,0.8,0.8,1,180,213,33,33,5,198,210,1.0,39,33,0.4583333333333333,post,2,72,26489122129.84347,1.00000035924574,0.05110320380633301,upper_boundary,1,0.0414671468146562,0.014730814923760632,1.6777942072485876,5,12,3
0,stable_high,0.8,0.8,1,180,216,36,36,5,201,213,1.0,36,36,0.5,post,2,72,26489122129.84347,1.00000035924574,0.05919797072049893,upper_boundary,4,0.01354834213062756,0.08250765973990759,0.4052247314699823,5,12,3
0,stable_high,0.8,0.8,1,180,219,39,39,5,204,216,1.0,9,39,0.8125,post,1,48,5.356676441056028,0.795457107616961,0.024863015101491005,stationary_minimum,2,0.00305966766124188,0.44552002390045775,0.08287117833456768,5,12,3
0,stable_high,0.8,0.8,1,180,222,42,42,5,207,219,1.0,0,24,1.0,post,1,24,4.930021842255313,0.7935497817986031,0.013273027357345785,stationary_minimum,2,0.026726164588903166,0.050490559922170185,0.7275506379525054,5,12,3
