selector_max_inner_origins,transition,horizon,period,n_blocks,mean_selected_order,mean_selected_window,mean_selected_smoothness,mean_inner_origin_post_fraction,mean_outer_block_mse,mean_benchmark_block_mse,pooled_relative_rmsfe
10,stable_high,1,mid,360,1.7777777777777777,46.86666666666667,0.5191541142681919,1.0,0.16898965539309577,0.13033938951848698,1.1386551609023512
10,stable_high,1,pre,600,1.6983333333333333,45.76,0.5581107720459089,0.0,0.1533784981205482,0.11499485762818815,1.1548964077112471
10,stable_high,3,early,360,1.711111111111111,49.666666666666664,0.6144107466249247,0.5416666666666666,0.25283302965405724,0.26223308381469707,0.9819133468002126
10,stable_high,3,late,480,1.6958333333333333,48.25,0.5773485536788971,1.0,0.26251782720509775,0.36879666663413224,0.8436958385773653
10,stable_high,3,mid,360,1.7916666666666667,47.333333333333336,0.7219891997319305,1.0,0.2788033962289197,0.3123629033075156,0.944755229401151
10,stable_high,3,pre,600,1.62,49.56,0.5896211736850855,0.0,0.2617939452271828,0.23751491494927762,1.0498671708579137
10,stable_high,6,early,360,1.9777777777777779,52.6,0.8259357586214302,0.4583333333333333,0.4418905262923055,0.5733543013565151,0.8779015340545803
10,stable_high,6,late,450,1.8777777777777778,52.32,0.7495355942144617,1.0,0.4231820408515589,0.8962360179302106,0.6871513715179504
10,stable_high,6,mid,360,1.9305555555555556,50.6,0.87746102552704,1.0,0.45067834740731544,0.7153399238851773,0.7937378939017387
10,stable_high,6,pre,600,1.785,53.6,0.7666300243514825,0.0,0.4369996191373174,0.4723161532649064,0.961887165263971
10,stable_high,12,early,360,2.058333333333333,55.666666666666664,0.8933337005619317,0.3,0.69126751731626,1.5643176618724957,0.6647534509403206
10,stable_high,12,late,390,2.028205128205128,55.01538461538462,0.9257170961370622,1.0,0.6588489535540367,2.604260838404604,0.5029799693777938
10,stable_high,12,mid,360,2.0972222222222223,55.53333333333333,0.9545717468420928,0.9916666666666667,0.6965555566726523,2.0227805319137535,0.5868180960568579
10,stable_high,12,pre,600,1.9416666666666667,56.8,0.8817291819126044,0.0,0.7901816884628851,1.1913721895768774,0.8144037252800349
10,stable_low,1,early,360,2.2527777777777778,50.733333333333334,0.9417738021125317,0.5416666666666666,0.34561079439426695,0.4959875732249571,0.8347535051682952
10,stable_low,1,late,480,2.216666666666667,50.6,0.9112299265955549,1.0,0.3485229480252287,0.527178596660582,0.8130866015791639
10,stable_low,1,mid,360,2.227777777777778,49.333333333333336,0.9039776969453897,1.0,0.3784935498096503,0.5012673065954686,0.8689495272576844
10,stable_low,1,pre,600,2.19,52.0,0.9327138798437384,0.0,0.35420521388751375,0.5127165168429773,0.8311680119370499
10,stable_low,3,early,360,2.175,51.93333333333333,0.9611206908966557,0.5416666666666666,0.339315186507335,0.5861002731681458,0.7608791558772181
10,stable_low,3,late,480,2.2041666666666666,52.5,0.9498320404251178,1.0,0.349261298942139,0.703478066115135,0.7046118648392236
10,stable_low,3,mid,360,2.216666666666667,50.06666666666667,0.9714765948009869,1.0,0.346993317566932,0.5972022769621913,0.7622542037705275
10,stable_low,3,pre,600,2.066666666666667,52.44,0.9557619183614686,0.0,0.3374136832522322,0.5310800142854895,0.7970789980648012
10,stable_low,6,early,360,2.1777777777777776,54.4,0.9636824650156167,0.4583333333333333,0.3698990655735749,0.8182587780134641,0.6723513490673507
10,stable_low,6,late,450,2.2244444444444444,52.21333333333333,0.9633601699713995,1.0,0.3777644684699787,1.1585246163455634,0.5710286788149896
10,stable_low,6,mid,360,2.2416666666666667,50.333333333333336,0.979310430995851,1.0,0.39097900852541134,0.9102304331012251,0.6553918621780406
10,stable_low,6,pre,600,2.1033333333333335,54.92,0.9621630021822474,0.0,0.37473264862345396,0.6995267637697179,0.7319115468367566
10,stable_low,12,early,360,2.2,56.666666666666664,0.9680374929676637,0.3,0.5236333303475466,1.7229714759162145,0.5512829963544243
10,stable_low,12,late,390,2.2205128205128206,52.55384615384615,0.9702940200113171,1.0,0.5027773270259218,2.826344361714221,0.4217696301248556
10,stable_low,12,mid,360,2.2222222222222223,54.06666666666667,0.9817030505214391,0.9916666666666667,0.5404346835780862,2.111519924592864,0.5059108744741367
10,stable_low,12,pre,600,2.111666666666667,56.0,0.9654451310097121,0.0,0.5099598110948255,1.3090474296557684,0.6241518823930226
20,high_to_low,1,early,360,1.6694444444444445,48.266666666666666,0.6643913790063494,0.275,0.3997733911974276,0.48998103679195193,0.9032694167167817
20,high_to_low,1,late,480,2.2,45.85,0.9545249917272488,1.0,0.3245622784432174,0.527178596660582,0.7846394448583133
20,high_to_low,1,mid,360,2.111111111111111,49.8,0.8965563324451895,0.85,0.3775458738623815,0.5012673065954686,0.8678610031942166
20,high_to_low,1,pre,600,1.39,43.76,0.41785907417729556,0.0,0.12411433060700297,0.11499485762818815,1.0388952359030108
20,high_to_low,3,early,360,1.6,46.53333333333333,0.7119379132643987,0.275,0.40628202717642714,0.5789390603185539,0.8377170976966724
20,high_to_low,3,late,480,2.127083333333333,49.4,0.9692065386166665,1.0,0.3276788475654787,0.703478066115135,0.6824941344364718
20,high_to_low,3,mid,360,2.011111111111111,48.93333333333333,0.9417906139191272,0.85,0.3544833262392676,0.5972022769621913,0.770437083668531
20,high_to_low,3,pre,600,1.4283333333333332,45.44,0.5004597485550226,0.0,0.23427452293925166,0.23751491494927762,0.9931551243081108
20,high_to_low,6,early,360,1.7694444444444444,52.333333333333336,0.8123452504230484,0.22916666666666666,0.4184322150764323,0.8080236672358314,0.7196155112362747
20,high_to_low,6,late,450,2.148888888888889,49.70666666666666,0.9762984260161637,1.0,0.3627511828399602,1.1585246163455634,0.5595666020507163
20,high_to_low,6,mid,360,2.022222222222222,49.13333333333333,0.9560044354066295,0.8125,0.3921489625546587,0.9102304331012251,0.656371717321933
20,high_to_low,6,pre,600,1.7133333333333334,48.36,0.7058978990921635,0.0,0.37569308280252156,0.4774932815874257,0.8870190904038829
20,high_to_low,12,early,360,1.9111111111111112,55.8,0.8902927299249145,0.15,0.5910212031203098,1.7063081861338218,0.5885356753319045
20,high_to_low,12,late,390,2.1307692307692307,50.276923076923076,0.9752024837775832,1.0,0.4736873156548406,2.826344361714221,0.40938633307918826
20,high_to_low,12,mid,360,2.0055555555555555,50.733333333333334,0.9571781025680868,0.725,0.5694148637070862,2.111519924592864,0.5192981887802709
20,high_to_low,12,pre,600,1.8966666666666667,50.88,0.8645299680272749,0.0,0.6696533769924822,1.1888728497241303,0.7505114581296132
20,low_to_high,1,early,360,1.9583333333333333,46.4,0.8557459961900942,0.275,0.21388329413987145,0.11254915357275325,1.378533471725476
20,low_to_high,1,late,480,1.4791666666666667,47.4,0.42498227715248443,1.0,0.13363795422271052,0.13780544552451232,0.984762992936028
20,low_to_high,1,mid,360,1.5055555555555555,42.666666666666664,0.49899829133602425,0.85,0.1488166228436862,0.13033984205416851,1.0685310019940983
20,low_to_high,1,pre,600,2.135,49.52,0.9434642980962028,0.0,0.33363619770857367,0.5127165168429773,0.8066737549716744
